,artist,date,ranking,title
48255,Miley Cyrus,2009-03-28,56,Hoedown Throwdown
48269,Kelly Clarkson,2009-03-28,70,Already Gone
48270,The Black Eyed Peas,2009-03-28,71,Boom Boom Pow
48285,Ciara,2009-03-28,86,Love Sex Magic
48293,Zac Brown Band,2009-03-28,94,Whatever It Is
48295,Plies,2009-03-28,96,"Want It, Need It"
48297,Musiq Soulchild,2009-03-28,98,sobeautiful
48299,Montgomery Gentry,2009-03-28,100,One In Every Crowd
48324,Flo Rida,2009-04-04,25,Sugar
48332,Lil Wayne,2009-04-04,33,Hot Revolver
48334,Brad Paisley,2009-04-04,35,Then
48352,Rascal Flatts,2009-04-04,53,Forever
48364,Birdman,2009-04-04,65,Always Strapped
48390,Pleasure P,2009-04-04,91,Boyfriend #2
48393,Keith Urban,2009-04-04,94,I'm In
48396,Eli Young Band,2009-04-04,97,Always The Love Songs
48399,Lady Antebellum,2009-04-04,100,I Run To You
48456,Hannah Montana,2009-04-11,57,Let's Get Crazy
48458,Rascal Flatts,2009-04-11,59,Love Who You Love
48464,Keri Hilson,2009-04-11,65,Knock You Down
48471,Taylor Swift,2009-04-11,72,Crazier
48480,Papa Roach,2009-04-11,81,Lifeline
48486,Hannah Montana,2009-04-11,87,You'll Always Find Your Way Back Home
48497,Keith Urban,2009-04-11,98,Only You Can Love Me This Way
48562,David Cook,2009-04-18,63,Come Back To Me
48574,Flo Rida,2009-04-18,75,Be On You
48584,Rascal Flatts,2009-04-18,85,Things That Matter
48589,Dierks Bentley,2009-04-18,90,Sideways
48594,Flo Rida,2009-04-18,95,Jump
48649,Kellie Pickler,2009-04-25,50,Best Days Of Your Life
48671,Miley Cyrus,2009-04-25,72,Butterfly Fly Away
48678,DAY26,2009-04-25,79,Imma Put It On Her
48679,Rascal Flatts,2009-04-25,80,Unstoppable
48689,Theory Of A Deadman,2009-04-25,90,Not Meant To Be
48690,Jeremih,2009-04-25,91,Birthday Sex
48691,Alan Jackson,2009-04-25,92,Sissy's Song
48699,Jason Michael Carroll,2009-04-25,100,Where I'm From
48708,Eminem,2009-05-02,9,We Made You
48739,Green Day,2009-05-02,40,Know Your Enemy
48777,Kevin Rudolf,2009-05-02,78,Welcome To The World
48787,Kelly Clarkson,2009-05-02,88,I Do Not Hook Up
48791,Silversun Pickups,2009-05-02,92,Panic Switch
48794,Madcon,2009-05-02,95,Beggin'
48796,Pink,2009-05-02,97,Please Don't Leave Me
48798,Ashley Tisdale,2009-05-02,99,"It's Alright, It's OK"
48799,Kenny Chesney,2009-05-02,100,Out Last Night
48836,Dave Matthews Band,2009-05-09,37,Funny The Way It Is
48874,Kristinia Debarge,2009-05-09,75,Goodbye
48891,Rick Ross,2009-05-09,92,Maybach Music 2
48894,Asher Roth,2009-05-09,95,Lark On My Go-Kart
48895,Natasha Bedingfield,2009-05-09,96,Soulmate
48931,Eminem,2009-05-16,32,3am
48964,Katy Perry,2009-05-16,65,Waking Up In Vegas
48977,Fall Out Boy,2009-05-16,78,America's Suitehearts
48981,Gorilla Zoe,2009-05-16,82,Echo
48988,Maxwell,2009-05-16,89,Pretty Wings
48989,Billy Currington,2009-05-16,90,People Are Crazy
48990,Hurricane Chris,2009-05-16,91,Halle Berry (She's Fine)
48991,Chrisette Michele,2009-05-16,92,Epiphany
48996,Toby Keith,2009-05-16,97,Lost You Anyway
48997,Charlie Wilson,2009-05-16,98,There Goes My Baby
49014,Daughtry,2009-05-23,15,No Surprise
49024,Eminem,2009-05-23,25,Old Time's Sake
49028,Sean Kingston,2009-05-23,29,Fire Burning
49086,Paula Abdul,2009-05-23,87,I'm Just Here For The Music
49091,Drake,2009-05-23,92,Best I Ever Had
49095,Young Money,2009-05-23,96,Every Girl
49098,Fast Life Yungstaz (F.L.Y.),2009-05-23,99,Swag Surfin'
49116,Eminem,2009-05-30,17,Beautiful
49131,Jordin Sparks,2009-05-30,32,Battlefield
49136,Jonas Brothers,2009-05-30,37,Paranoid
49175,Cobra Starship,2009-05-30,76,Good Girls Go Bad
49178,The Fray,2009-05-30,79,Heartless
49186,Jessie James,2009-05-30,87,Wanted
49190,Darius Rucker,2009-05-30,91,Alright
49195,The Pussycat Dolls,2009-05-30,96,Hush Hush
49199,Trey Songz,2009-05-30,100,I Need A Girl
49203,Glee Cast,2009-06-06,4,Don't Stop Believin'
49205,Linkin Park,2009-06-06,6,New Divide
49210,Kris Allen,2009-06-06,11,No Boundaries
49215,Kris Allen,2009-06-06,16,Heartless
49218,Adam Lambert,2009-06-06,19,Mad World
49223,David Cook,2009-06-06,24,Permanent
49236,Kris Allen,2009-06-06,37,Ain't No Sunshine
49241,Rob Thomas,2009-06-06,42,Her Diamonds
49243,Charice,2009-06-06,44,Note To God
49249,The Black Eyed Peas,2009-06-06,50,Imma Be
49255,Adam Lambert,2009-06-06,56,A Change Is Gonna Come
49265,Kris Allen,2009-06-06,66,Apologize
49271,Adam Lambert,2009-06-06,72,No Boundaries
