,year,band_singer,ranking,song,songurl,url
1003,1998,Missy Elliott,41.0,Make It Hot,/wiki/Make_It_Hot_(Nicole_Wray_song),/wiki/Missy_Elliott
1023,1998,All Saints,42.0,Never Ever,/wiki/Never_Ever_(All_Saints_song),/wiki/All_Saints_(group)
1043,1998,Janet Jackson,43.0,I Get Lonely,/wiki/I_Get_Lonely,/wiki/Janet_Jackson
1063,1998,Blackstreet,43.0,I Get Lonely,/wiki/I_Get_Lonely,/wiki/Blackstreet
1083,1998,Mase,44.0,Feel So Good,/wiki/Feel_So_Good_(song),/wiki/Mase
1103,1998,Kelly Price,44.0,Feel So Good,/wiki/Feel_So_Good_(song),/wiki/Kelly_Price
1123,1998,Billie Myers,46.0,Kiss the Rain,/wiki/Kiss_the_Rain,/wiki/Billie_Myers
1143,1998,Puff Daddy,47.0,Come with Me,/wiki/Come_with_Me_(Puff_Daddy_song),/wiki/Sean_Combs
1163,1998,Jimmy Page,47.0,Come with Me,/wiki/Come_with_Me_(Puff_Daddy_song),/wiki/Jimmy_Page
1183,1998,Sylk-E. Fyne,48.0,Romeo and Juliet,/wiki/Romeo_and_Juliet_(Sylk-E._Fyne_song),/wiki/Sylk-E._Fyne
1203,1998,Mýa,49.0,It's All About Me,/wiki/It%27s_All_About_Me,/wiki/M%C3%BDa
1223,1998,Sisqo,49.0,It's All About Me,/wiki/It%27s_All_About_Me,/wiki/Sisqo
1243,1998,Hanson,50.0,I Will Come to You,/wiki/I_Will_Come_to_You,/wiki/Hanson_(band)
